gene_id	cluster
YAL018C	1
YAL064C-A	1
YAL069W	1
YBL065W	1
YBR033W	1
YBR051W	1
YBR099C	1
YBR136W	1
YBR148W	1
YDL080C	1
YDL139C	1
YDL159W	1
YDR006C	1
YDR151C	1
YDR419W	1
YER017C	1
YER185W	1
YER190W	1
YFL006W	1
YFL040W	1
YFR020W	1
YGL074C	1
YGL126W	1
YGL251C	1
YGL261C	1
YGR006W	1
YGR021W	1
YGR062C	1
YGR087C	1
YGR226C	1
YGR270W	1
YHR033W	1
YHR034C	1
YHR212C	1
YIL084C	1
YIL154C	1
YIL161W	1
YJL083W	1
YJL160C	1
YJL216C	1
YJR020W	1
YJR046W	1
YJR108W	1
YJR113C	1
YJR151C	1
YKL075C	1
YKL220C	1
YLL006W	1
YLR094C	1
YLR116W	1
YLR122C	1
YLR464W	1
YML020W	1
YMR031W-A	1
YMR068W	1
YMR086C-A	1
YMR151W	1
YMR165C	1
YMR279C	1
YOL073C	1
YOL075C	1
YOR107W	1
YOR353C	1
YOR358W	1
YOR363C	1
YOR393W	1
YPR037C	1
YPR040W	1
YPR054W	1
YPR084W	1
YPR195C	1
YBL051C	2
YBR102C	2
YBR110W	2
YBR196C	2
YBR229C	2
YDL052C	2
YDL192W	2
YDL193W	2
YDR174W	2
YDR237W	2
YDR510W	2
YEL001C	2
YER111C	2
YFL031W	2
YGL040C	2
YGL100W	2
YGL127C	2
YGL200C	2
YHR043C	2
YHR060W	2
YHR083W	2
YIL138C	2
YJL108C	2
YKR002W	2
YLR024C	2
YLR027C	2
YLR253W	2
YLR396C	2
YLR421C	2
YML086C	2
YMR112C	2
YMR237W	2
YMR303C	2
YNL070W	2
YNL138W	2
YNL158W	2
YNL167C	2
YNL171C	2
YNL289W	2
YNR035C	2
YOL038W	2
YOL086C	2
YOR076C	2
YOR157C	2
YOR331C	2
YOR357C	2
YPL218W	2
YPR046W	2
YPR197C	2
YAR009C	3
YAR066W	3
YBL089W	3
YBL098W	3
YBR208C	3
YBR262C	3
YDL056W	3
YDL206W	3
YDL246C	3
YDR283C	3
YDR455C	3
YER005W	3
YGL086W	3
YGL215W	3
YGR031W	3
YHR092C	3
YIL066C	3
YJR120W	3
YKL203C	3
YLL059C	3
YMR019W	3
YMR290W-A	3
YOL011W	3
YOL104C	3
YOL114C	3
YOR336W	3
YPL139C	3
YPL174C	3
YPL208W	3
YPR071W	3
YBR002C	4
YBR103W	4
YBR163W	4
YBR236C	4
YDL172C	4
YDR051C	4
YDR089W	4
YDR163W	4
YDR281C	4
YDR308C	4
YDR323C	4
YDR352W	4
YEL063C	4
YGL210W	4
YGR040W	4
YGR047C	4
YGR180C	4
YGR275W	4
YHL038C	4
YHR038W	4
YHR166C	4
YJR055W	4
YJR089W	4
YKL027W	4
YKL032C	4
YKL108W	4
YKL114C	4
YKL175W	4
YKL186C	4
YKR007W	4
YLL043W	4
YLL063C	4
YLR309C	4
YLR358C	4
YLR364W	4
YMR066W	4
YMR154C	4
YMR204C	4
YMR289W	4
YNL047C	4
YNL165W	4
YNL190W	4
YNL245C	4
YNR023W	4
YNR050C	4
YOR372C	4
YPL205C	4
YPR111W	4
YPR133C	4
YPR161C	4
