gene_id	gene_name	mean_expr	sd_expr	cv
YER017C	YER017C   AFG3       PROTEIN DEGRADATION                     MITOCHONDRIAL METALLOPROTEASE           S0000819	0.0000	0.4427	1219416960895028480.0000
YHR083W	YHR083W              UNKNOWN                                 UNKNOWN                                 S0001125	-0.0001	0.3773	3415.4939
YGL261C	YGL261C              UNKNOWN                                 UNKNOWN; SIMILAR TO PAU1P AND MEMBERS OFS0003230	0.0002	0.5443	3247.0034
YBR102C	YBR102C              UNKNOWN                                 EXOCYTOSIS (PUTATIVE)                   S0000306	0.0002	0.3967	2248.1617
YBL065W	YBL065W              UNKNOWN                                 UNKNOWN                                 S0000161	-0.0004	0.7381	2017.5727
YJR120W	YJR120W              UNKNOWN                                 UNKNOWN                                 S0003881	-0.0003	0.5705	1635.4417
YKL108W	YKL108W   SLD2       DNA REPLICATION                         UNKNOWN; INTERACTS WITH DPB11P          S0001591	-0.0003	0.4690	1432.1770
YOL104C	YOL104C   NDJ1       MEIOSIS, CHROMOSOME SEGREGATION         UNKNOWN                                 S0005464	0.0006	0.6912	1161.2778
YNR035C	YNR035C   ARC35      CYTOSKELETON                            CORTICAL ACTIN PATCH INTEGRITY          S0005318	-0.0006	0.5930	1058.4678
YHR034C	YHR034C              UNKNOWN                                 UNKNOWN                                 S0001076	0.0006	0.6093	952.7032
YER185W	YER185W              UNKNOWN                                 UNKNOWN; SIMILAR TO RTM1P               S0000987	-0.0009	0.6774	764.3526
YPL174C	YPL174C   NIP100     NUCLEAR PROTEIN TARGETING               (PUTATIVE) LARGE SUBUNIT OF DYNACTIN COMS0006095	0.0011	0.6748	595.1926
YJR046W	YJR046W   TAH11      UNKNOWN                                 UNKNOWN                                 S0003807	0.0012	0.6729	561.8528
YFR020W	YFR020W              UNKNOWN                                 UNKNOWN                                 S0001916	-0.0008	0.4406	551.6054
YDL080C	YDL080C   THI3       THIAMINE METABOLISM                     ALPHA-KETOISOCAPROATE CARBOXYLASE       S0002238	-0.0008	0.4284	542.5973
YGR226C	YGR226C              UNKNOWN                                 UNKNOWN                                 S0003458	0.0017	0.8670	512.0543
YOL038W	YOL038W   PRE6       PROTEIN DEGRADATION                     20S PROTEASOME SUBUNIT (ALPHA4)         S0005398	0.0014	0.6716	489.1924
YMR086C-A	YMR086C-A            UNKNOWN                                 UNKNOWN                                 S0004691	-0.0010	0.4817	485.0697
YJR151C	YJR151C              UNKNOWN                                 UNKNOWN                                 S0003912	0.0008	0.3095	409.4782
YDR174W	YDR174W   HMO1       CHROMATIN STRUCTURE                     NON-HISTONE PROTEIN                     S0002581	-0.0015	0.5847	396.6986
YLR122C	YLR122C              UNKNOWN                                 UNKNOWN                                 S0004112	0.0020	0.7696	385.9848
YNR023W	YNR023W   SNF12      TRANSCRIPTION                           COMPONENT OF SWI/SNF GLOBAL ACTIVATOR COS0005306	-0.0010	0.3656	381.4175
YAL018C	YAL018C              UNKNOWN                                 UNKNOWN                                 S0000016	-0.0021	0.7342	344.0253
YGL127C	YGL127C   SOH1       UNKNOWN                                 UNKNOWN; SIMILAR TO RNA POLYMERASES     S0003095	0.0014	0.4563	321.5513
YBR208C	YBR208C   DUR1,2     NITROGEN, AMINO ACID, NUCLEOTIDE METABOLUREA AMIDOLYASE                         S0000412	-0.0020	0.6261	318.7215
YHR166C	YHR166C   CDC23      MITOSIS                                 ANAPHASE PROMOTING COMPLEX SUBUNIT      S0001209	0.0013	0.3969	317.5431
YNL289W	YNL289W   PCL1       CELL CYCLE                              G1/S CYCLIN                             S0005233	0.0013	0.4078	315.1298
YGL086W	YGL086W   MAD1       CELL CYCLE                              SPINDLE CHECKPOINT COMPLEX SUBUNIT      S0003054	0.0017	0.4990	294.2207
YDR308C	YDR308C   SRB7       TRANSCRIPTION                           RNA POLYMERASE II MEDIATOR SUBUNIT      S0002716	-0.0013	0.3655	281.0632
